timestamp,ifInOctets_bytes,ifOutOctets_bytes,ifInErrors,onuOperStatus,debit_rx_mbps,debit_tx_mbps,utilization_pct,error_rate_pct,label_anomaly
2026-02-15 00:00:00,15894085475,12537476604,7,up,423.842,334.333,42.384,0.7469,0
2026-02-15 00:05:00,14751124257,9529264753,3,up,393.363,254.114,39.336,0.345,0
2026-02-15 00:10:00,16165839368,11940635528,0,up,431.089,318.417,43.109,0.0834,0
2026-02-15 00:15:00,17741453741,10732921904,2,up,473.105,286.211,47.311,0.2808,0
2026-02-15 00:20:00,14578523925,10817765516,10,up,388.761,288.474,38.876,1.0515,0
2026-02-15 00:25:00,14578553477,8017411187,13,up,388.761,213.798,38.876,1.3159,0
2026-02-15 00:30:00,17842583067,7724329174,3,up,475.802,205.982,47.58,0.3085,0
2026-02-15 00:35:00,16381382512,10222086915,6,up,436.837,272.589,43.684,0.6541,0
2026-02-15 00:40:00,14154946105,10811101639,0,up,377.465,288.296,37.747,0.0671,0
2026-02-15 00:45:00,15976608078,9082250737,0,up,426.043,242.193,42.604,0.0847,0
2026-02-15 00:50:00,14165848152,9128246302,9,up,377.756,243.42,37.776,0.9166,0
2026-02-15 00:55:00,14161686443,11207455513,0,up,377.645,298.865,37.764,0.0436,0
2026-02-15 01:00:00,15435532088,11209196645,0,up,411.614,298.912,41.161,0.0636,0
2026-02-15 01:05:00,11556095559,10326446263,1,up,308.163,275.372,30.816,0.1637,0
2026-02-15 01:10:00,11895147901,11483054168,2,up,317.204,306.215,31.72,0.2672,0
2026-02-15 01:15:00,13987882447,9020505107,2,up,373.01,240.547,37.301,0.2778,0
2026-02-15 01:20:00,13176903983,10051522004,1,up,351.384,268.041,35.138,0.1036,0
2026-02-15 01:25:00,15565645198,12576325783,7,up,415.084,335.369,41.508,0.76,0
2026-02-15 01:30:00,13365556664,10586085883,7,up,356.415,282.296,35.641,0.7399,0
2026-02-15 01:35:00,12457853337,10659153768,1,up,332.209,284.244,33.221,0.1493,0
2026-02-15 01:40:00,17638167784,13405492698,1,up,470.351,357.48,47.035,0.1709,0
