timestamp,ifInOctets_bytes,ifOutOctets_bytes,ifInErrors,onuOperStatus,debit_rx_mbps,debit_tx_mbps,utilization_pct,error_rate_pct,label_anomaly
2026-02-15 00:00:00,13907324790,10298641496,9,up,370.862,274.63,37.086,0.9958,0
2026-02-15 00:05:00,12907233725,7827610332,4,up,344.193,208.736,34.419,0.46,0
2026-02-15 00:10:00,14145109447,9808379183,1,up,377.203,261.557,37.72,0.1112,0
2026-02-15 00:15:00,15523772023,8816328706,3,up,413.967,235.102,41.397,0.3744,0
2026-02-15 00:20:00,12756208434,8886021674,14,up,340.166,236.961,34.017,1.402,0
2026-02-15 00:25:00,12756234292,6585730618,17,up,340.166,175.619,34.017,1.7545,0
2026-02-15 00:30:00,15612260184,6344984679,4,up,416.327,169.2,41.633,0.4113,0
2026-02-15 00:35:00,14333709698,8396714251,8,up,382.232,223.912,38.223,0.8721,0
2026-02-15 00:40:00,12385577842,8880547775,0,up,330.282,236.815,33.028,0.0894,0
2026-02-15 00:45:00,13979532068,7460420248,1,up,372.788,198.945,37.279,0.113,0
2026-02-15 00:50:00,12395117133,7498202320,12,up,330.536,199.952,33.054,1.2221,0
2026-02-15 00:55:00,12391475638,9206124171,0,up,330.439,245.497,33.044,0.0581,0
2026-02-15 01:00:00,13506090577,9207554387,0,up,360.162,245.535,36.016,0.0848,0
2026-02-15 01:05:00,10111583614,8482438002,2,up,269.642,226.198,26.964,0.2183,0
2026-02-15 01:10:00,10408254413,9432508781,3,up,277.553,251.534,27.755,0.3562,0
2026-02-15 01:15:00,12239397141,7409700623,3,up,326.384,197.592,32.638,0.3704,0
2026-02-15 01:20:00,11529790985,8256607360,1,up,307.461,220.176,30.746,0.1381,0
2026-02-15 01:25:00,13619939548,10330553321,10,up,363.198,275.481,36.32,1.0134,0
2026-02-15 01:30:00,11694862081,8695713404,9,up,311.863,231.886,31.186,0.9865,0
2026-02-15 01:35:00,10900621670,8755733452,1,up,290.683,233.486,29.068,0.1991,0
2026-02-15 01:40:00,15433396811,11011654716,2,up,411.557,293.644,41.156,0.2279,0
2026-02-15 01:45:00,12769402326,7176680858,4,up,340.517,191.378,34.052,0.4849,0
2026-02-15 01:50:00,13231356922,9449305429,4,up,352.836,251.981,35.284,0.4351,0
2026-02-15 01:55:00,10881021606,10347225799,1,up,290.161,275.926,29.016,0.1927,0
2026-02-15 02:00:00,12267597208,8288772046,2,up,327.136,221.034,32.714,0.2139,0
2026-02-15 02:05:00,13299703078,9514717864,1,up,354.659,253.726,35.466,0.1711,0
2026-02-15 02:10:00,11312185115,7608609820,1,up,301.658,202.896,30.166,0.1074,0
2026-02-15 02:15:00,13716724378,7914231970,2,up,365.779,211.046,36.578,0.2451,0
2026-02-15 02:20:00,12178994063,9023440240,4,up,324.773,240.625,32.477,0.4639,0
2026-02-15 02:25:00,12665582344,9451516506,5,up,337.749,252.04,33.775,0.5419,0
2026-02-15 02:30:00,12177312085,9785169290,6,up,324.728,260.938,32.473,0.6036,0
2026-02-15 02:35:00,16042338140,10249565587,1,up,427.796,273.322,42.78,0.1878,0
2026-02-15 02:40:00,13103741871,8555192811,5,up,349.433,228.138,34.943,0.5786,0
2026-02-15 02:45:00,11459105286,9860388166,0,up,305.576,262.944,30.558,0.0026,0
2026-02-15 02:50:00,14420508236,8270714487,2,up,384.547,220.552,38.455,0.2593,0
2026-02-15 02:55:00,11202171251,9558664507,6,up,298.725,254.898,29.872,0.6318,0
2026-02-15 03:00:00,13453960162,8839750905,3,up,358.772,235.727,35.877,0.3977,0
2026-02-15 03:05:00,10038519554,9086276633,2,up,267.694,242.301,26.769,0.257,0
2026-02-15 03:10:00,11033106972,9063330649,4,up,294.216,241.689,29.422,0.4139,0
2026-02-15 03:15:00,13435056446,6964130314,9,up,358.268,185.71,35.827,0.9498,0
2026-02-15 03:20:00,14288084863,7461533876,3,up,381.016,198.974,38.102,0.3342,0
2026-02-15 03:25:00,13394905042,8731130390,6,up,357.197,232.83,35.72,0.6433,0
2026-02-15 03:30:00,12942853955,6878666152,15,up,345.143,183.431,34.514,1.5799,0
2026-02-15 03:35:00,12650761679,9485303491,4,up,337.354,252.941,33.735,0.4891,0
