timestamp,ifInOctets_bytes,ifOutOctets_bytes,ifInErrors,onuOperStatus,debit_rx_mbps,debit_tx_mbps,utilization_pct,error_rate_pct,label_anomaly
2026-02-15 00:00:00,7947042737,6716505324,62,up,211.921,179.107,21.192,6.2238,0
2026-02-15 00:05:00,7375562128,5104963260,28,up,196.682,136.132,19.668,2.8747,0
2026-02-15 00:10:00,8082919684,6396769032,6,up,215.545,170.581,21.554,0.6951,0
2026-02-15 00:15:00,8870726870,5749779591,23,up,236.553,153.327,23.655,2.3403,0
2026-02-15 00:20:00,7289261962,5795231526,87,up,194.38,154.54,19.438,8.7624,0
2026-02-15 00:25:00,7289276738,4295041707,109,up,194.381,114.534,19.438,10.9659,0
2026-02-15 00:30:00,8921291533,4138033486,25,up,237.901,110.348,23.79,2.5706,0
2026-02-15 00:35:00,8190691256,5476117990,54,up,218.418,146.03,21.842,5.4506,0
2026-02-15 00:40:00,7077473052,5791661592,5,up,188.733,154.444,18.873,0.559,0
2026-02-15 00:45:00,7988304039,4865491466,7,up,213.021,129.746,21.302,0.7062,0
2026-02-15 00:50:00,7082924076,4890131947,76,up,188.878,130.404,18.888,7.638,0
2026-02-15 00:55:00,7080843221,6003994025,3,up,188.822,160.107,18.882,0.3632,0
2026-02-15 01:00:00,7717766044,6004926774,5,up,205.807,160.131,20.581,0.5302,0
2026-02-15 01:05:00,5778047779,5532024784,13,up,154.081,147.521,15.408,1.3642,0
2026-02-15 01:10:00,5947573950,6151636161,22,up,158.602,164.044,15.86,2.2265,0
2026-02-15 01:15:00,6993941223,4832413450,23,up,186.505,128.864,18.651,2.3147,0
2026-02-15 01:20:00,6588451991,5384743930,8,up,175.692,143.593,17.569,0.8632,0
2026-02-15 01:25:00,7782822599,6737317383,63,up,207.542,179.662,20.754,6.3336,0
2026-02-15 01:30:00,6682778332,5671117437,61,up,178.207,151.23,17.821,6.1657,0
2026-02-15 01:35:00,6228926668,5710260947,12,up,166.105,152.274,16.61,1.2442,0
2026-02-15 01:40:00,8819083892,7181513945,14,up,235.176,191.507,23.518,1.4242,0
2026-02-15 01:45:00,7296801329,4680444038,30,up,194.581,124.812,19.458,3.0308,0
2026-02-15 01:50:00,7560775384,6162590497,27,up,201.621,164.336,20.162,2.7192,0
2026-02-15 01:55:00,6217726632,6748190738,12,up,165.806,179.952,16.581,1.2044,0
2026-02-15 02:00:00,7010055547,5405720899,13,up,186.935,144.153,18.693,1.3371,0
2026-02-15 02:05:00,7599830330,6205250781,10,up,202.662,165.473,20.266,1.0694,0
