timestamp,ifInOctets_bytes,ifOutOctets_bytes,ifInErrors,onuOperStatus,debit_rx_mbps,debit_tx_mbps,utilization_pct,error_rate_pct,label_anomaly
2026-02-15 00:00:00,34966988045,26866021296,12,up,932.453,716.427,93.245,1.2448,0
2026-02-15 00:05:00,32452473367,20419853042,5,up,865.399,544.529,86.54,0.5749,0
2026-02-15 00:10:00,35564846610,25587076131,1,up,948.396,682.322,94.84,0.139,0
2026-02-15 00:15:00,39031198231,22999118365,4,up,1040.832,613.31,100.0,0.4681,0
2026-02-15 00:20:00,32072752636,23180926106,17,up,855.273,618.158,85.527,1.7525,0
2026-02-15 00:25:00,32072817650,17180166830,21,up,855.275,458.138,85.528,2.1932,0
2026-02-15 00:30:00,39253682749,16552133946,5,up,1046.765,441.39,100.0,0.5141,0
2026-02-15 00:35:00,36039041527,21904471961,10,up,961.041,584.119,96.104,1.0901,0
2026-02-15 00:40:00,31140881431,23166646371,1,up,830.424,617.777,83.042,0.1118,0
2026-02-15 00:45:00,35148537772,19461965865,1,up,937.294,518.986,93.729,0.1412,0
2026-02-15 00:50:00,31164865936,19560527791,15,up,831.063,521.614,83.106,1.5276,0
2026-02-15 00:55:00,31155710175,24015976100,0,up,830.819,640.426,83.082,0.0726,0
2026-02-15 01:00:00,33958170595,24019707097,1,up,905.551,640.526,90.555,0.106,0
2026-02-15 01:05:00,25423410231,22128099136,2,up,677.958,590.083,67.796,0.2728,0
2026-02-15 01:10:00,26169325383,24606544647,4,up,697.849,656.175,69.785,0.4453,0
2026-02-15 01:15:00,30773341384,19329653801,4,up,820.622,515.457,82.062,0.4629,0
2026-02-15 01:20:00,28989188763,21538975723,1,up,773.045,574.373,77.305,0.1726,0
2026-02-15 01:25:00,34244419437,26949269535,12,up,913.185,718.647,91.318,1.2667,0
2026-02-15 01:30:00,29404224660,22684469750,12,up,784.113,604.919,78.411,1.2331,0
2026-02-15 01:35:00,27407277342,22841043789,2,up,730.861,609.095,73.086,0.2488,0
2026-02-15 01:40:00,38803969124,28726055782,2,up,1034.773,766.028,100.0,0.2848,0
2026-02-15 01:45:00,32105925850,18721776152,6,up,856.158,499.247,85.616,0.6062,0
2026-02-15 01:50:00,33267411690,24650361989,5,up,887.131,657.343,88.713,0.5438,0
2026-02-15 01:55:00,27357997182,26992762955,2,up,729.547,719.807,72.955,0.2409,0
2026-02-15 02:00:00,30844244410,21622883598,2,up,822.513,576.61,82.251,0.2674,0
2026-02-15 02:05:00,33439253455,24821003124,2,up,891.713,661.893,89.171,0.2139,0
2026-02-15 02:10:00,28442065433,19848547357,1,up,758.455,529.295,75.846,0.1342,0
2026-02-15 02:15:00,34487764152,20645822531,3,up,919.674,550.555,91.967,0.3064,0
2026-02-15 02:20:00,30621470787,23539409323,5,up,816.573,627.718,81.657,0.5799,0
2026-02-15 02:25:00,31844892750,24656130017,6,up,849.197,657.497,84.92,0.6773,0
2026-02-15 02:30:00,30617241815,25526528583,7,up,816.46,680.707,81.646,0.7545,0
