timestamp,ifInOctets_bytes,ifOutOctets_bytes,ifInErrors,onuOperStatus,debit_rx_mbps,debit_tx_mbps,utilization_pct,error_rate_pct,label_anomaly
2026-02-15 00:00:00,9933803422,7164272345,79,up,264.901,191.047,26.49,7.9665,0
2026-02-15 00:05:00,9219452661,5445294144,36,up,245.852,145.208,24.585,3.6796,0
2026-02-15 00:10:00,10103649605,6823220301,8,up,269.431,181.953,26.943,0.8897,0
2026-02-15 00:15:00,11088408588,6133098230,29,up,295.691,163.549,29.569,2.9956,0
2026-02-15 00:20:00,9111577453,6181580295,112,up,242.975,164.842,24.298,11.2159,0
2026-02-15 00:25:00,9111595923,4581377821,140,up,242.976,122.17,24.298,14.0363,0
2026-02-15 00:30:00,11151614417,4413902385,32,up,297.376,117.704,29.738,3.2903,0
2026-02-15 00:35:00,10238364070,5841192523,69,up,273.023,155.765,27.302,6.9768,0
2026-02-15 00:40:00,8846841315,6177772365,7,up,235.916,164.741,23.592,0.7155,0
2026-02-15 00:45:00,9985380049,5189857564,9,up,266.277,138.396,26.628,0.9039,0
2026-02-15 00:50:00,8853655095,5216140744,97,up,236.097,139.097,23.61,9.7767,0
2026-02-15 00:55:00,8851054027,6404260293,4,up,236.028,170.78,23.603,0.465,0
2026-02-15 01:00:00,9647207555,6405255225,6,up,257.259,170.807,25.726,0.6787,0
2026-02-15 01:05:00,7222559724,5900826436,17,up,192.602,157.355,19.26,1.7462,0
2026-02-15 01:10:00,7434467438,6561745239,28,up,198.252,174.98,19.825,2.8499,0
2026-02-15 01:15:00,8742426529,5154574347,29,up,233.131,137.455,23.313,2.9628,0
2026-02-15 01:20:00,8235564989,5743726859,11,up,219.615,153.166,21.962,1.1049,0
2026-02-15 01:25:00,9728528249,7186471876,81,up,259.427,191.639,25.943,8.107,0
2026-02-15 01:30:00,8353472915,6049191933,78,up,222.759,161.312,22.276,7.8921,0
2026-02-15 01:35:00,7786158335,6090945010,15,up,207.631,162.425,20.763,1.5926,0
2026-02-15 01:40:00,11023854865,7660281541,18,up,293.969,204.274,29.397,1.823,0
2026-02-15 01:45:00,9121001661,4992473640,38,up,243.227,133.133,24.323,3.8795,0
2026-02-15 01:50:00,9450969230,6573429863,34,up,252.026,175.291,25.203,3.4805,0
