timestamp,event_type,severity,description
2025-11-17 08:23:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-11-17 09:42:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-17 10:09:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-17 10:22:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-17 13:32:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-17 14:02:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-17 15:37:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-17 19:15:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-17 19:48:00,bruteforce_login,low,Fictive event: bruteforce_login detected
2025-11-17 20:05:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-17 23:18:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-17 23:43:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-18 01:22:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-18 03:39:00,bruteforce_login,low,Fictive event: bruteforce_login detected
2025-11-18 05:39:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-18 05:42:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-18 05:46:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-18 06:57:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-18 09:54:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-18 11:06:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-18 11:46:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-18 12:14:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-18 12:28:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-18 13:27:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-11-18 14:59:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-18 16:33:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-18 16:55:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-18 17:02:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-18 17:10:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
