node_id,node_type,location,parent
OLT_1,OLT,POP_Tunis,-
Splitter_A,Splitter,Cabinet_A,OLT_1
Splitter_B,Splitter,Cabinet_B,OLT_1
Splitter_C,Splitter,Cabinet_C,OLT_1
Splitter_D,Splitter,Cabinet_D,OLT_1
ONT_101,ONT,Cabinet_A,Splitter_A
ONT_102,ONT,Cabinet_A,Splitter_A
ONT_103,ONT,Cabinet_A,Splitter_A
ONT_104,ONT,Cabinet_A,Splitter_A
ONT_105,ONT,Cabinet_A,Splitter_A
ONT_106,ONT,Cabinet_A,Splitter_A
ONT_107,ONT,Cabinet_A,Splitter_A
ONT_108,ONT,Cabinet_A,Splitter_A
ONT_109,ONT,Cabinet_A,Splitter_A
ONT_110,ONT,Cabinet_A,Splitter_A
ONT_111,ONT,Cabinet_A,Splitter_A
ONT_112,ONT,Cabinet_A,Splitter_A
ONT_113,ONT,Cabinet_A,Splitter_A
ONT_114,ONT,Cabinet_A,Splitter_A
ONT_115,ONT,Cabinet_A,Splitter_A
ONT_116,ONT,Cabinet_A,Splitter_A
ONT_117,ONT,Cabinet_A,Splitter_A
ONT_118,ONT,Cabinet_A,Splitter_A
ONT_119,ONT,Cabinet_A,Splitter_A
ONT_120,ONT,Cabinet_A,Splitter_A
ONT_121,ONT,Cabinet_A,Splitter_A
ONT_122,ONT,Cabinet_A,Splitter_A
ONT_123,ONT,Cabinet_A,Splitter_A
ONT_124,ONT,Cabinet_A,Splitter_A
ONT_125,ONT,Cabinet_A,Splitter_A
ONT_126,ONT,Cabinet_B,Splitter_B
ONT_127,ONT,Cabinet_B,Splitter_B
ONT_128,ONT,Cabinet_B,Splitter_B
ONT_129,ONT,Cabinet_B,Splitter_B
ONT_130,ONT,Cabinet_B,Splitter_B
ONT_131,ONT,Cabinet_B,Splitter_B
ONT_132,ONT,Cabinet_B,Splitter_B
ONT_133,ONT,Cabinet_B,Splitter_B
ONT_134,ONT,Cabinet_B,Splitter_B
ONT_135,ONT,Cabinet_B,Splitter_B
ONT_136,ONT,Cabinet_B,Splitter_B
ONT_137,ONT,Cabinet_B,Splitter_B
ONT_138,ONT,Cabinet_B,Splitter_B
ONT_139,ONT,Cabinet_B,Splitter_B
ONT_140,ONT,Cabinet_B,Splitter_B
ONT_141,ONT,Cabinet_B,Splitter_B
ONT_142,ONT,Cabinet_B,Splitter_B
ONT_143,ONT,Cabinet_B,Splitter_B
ONT_144,ONT,Cabinet_B,Splitter_B
ONT_145,ONT,Cabinet_B,Splitter_B
ONT_146,ONT,Cabinet_B,Splitter_B
ONT_147,ONT,Cabinet_B,Splitter_B
ONT_148,ONT,Cabinet_B,Splitter_B
ONT_149,ONT,Cabinet_B,Splitter_B
ONT_150,ONT,Cabinet_B,Splitter_B
ONT_151,ONT,Cabinet_C,Splitter_C
ONT_152,ONT,Cabinet_C,Splitter_C
ONT_153,ONT,Cabinet_C,Splitter_C
ONT_154,ONT,Cabinet_C,Splitter_C
ONT_155,ONT,Cabinet_C,Splitter_C
ONT_156,ONT,Cabinet_C,Splitter_C
ONT_157,ONT,Cabinet_C,Splitter_C
ONT_158,ONT,Cabinet_C,Splitter_C
ONT_159,ONT,Cabinet_C,Splitter_C
ONT_160,ONT,Cabinet_C,Splitter_C
ONT_161,ONT,Cabinet_C,Splitter_C
ONT_162,ONT,Cabinet_C,Splitter_C
ONT_163,ONT,Cabinet_C,Splitter_C
ONT_164,ONT,Cabinet_C,Splitter_C
ONT_165,ONT,Cabinet_C,Splitter_C
ONT_166,ONT,Cabinet_C,Splitter_C
ONT_167,ONT,Cabinet_C,Splitter_C
ONT_168,ONT,Cabinet_C,Splitter_C
ONT_169,ONT,Cabinet_C,Splitter_C
ONT_170,ONT,Cabinet_C,Splitter_C
ONT_171,ONT,Cabinet_C,Splitter_C
ONT_172,ONT,Cabinet_C,Splitter_C
ONT_173,ONT,Cabinet_C,Splitter_C
ONT_174,ONT,Cabinet_C,Splitter_C
ONT_175,ONT,Cabinet_C,Splitter_C
ONT_176,ONT,Cabinet_D,Splitter_D
ONT_177,ONT,Cabinet_D,Splitter_D
ONT_178,ONT,Cabinet_D,Splitter_D
ONT_179,ONT,Cabinet_D,Splitter_D
ONT_180,ONT,Cabinet_D,Splitter_D
ONT_181,ONT,Cabinet_D,Splitter_D
ONT_182,ONT,Cabinet_D,Splitter_D
ONT_183,ONT,Cabinet_D,Splitter_D
ONT_184,ONT,Cabinet_D,Splitter_D
ONT_185,ONT,Cabinet_D,Splitter_D
ONT_186,ONT,Cabinet_D,Splitter_D
ONT_187,ONT,Cabinet_D,Splitter_D
ONT_188,ONT,Cabinet_D,Splitter_D
ONT_189,ONT,Cabinet_D,Splitter_D
ONT_190,ONT,Cabinet_D,Splitter_D
ONT_191,ONT,Cabinet_D,Splitter_D
ONT_192,ONT,Cabinet_D,Splitter_D
ONT_193,ONT,Cabinet_D,Splitter_D
ONT_194,ONT,Cabinet_D,Splitter_D
ONT_195,ONT,Cabinet_D,Splitter_D
ONT_196,ONT,Cabinet_D,Splitter_D
ONT_197,ONT,Cabinet_D,Splitter_D
ONT_198,ONT,Cabinet_D,Splitter_D
ONT_199,ONT,Cabinet_D,Splitter_D
ONT_200,ONT,Cabinet_D,Splitter_D
