timestamp,src_ip,dst_ip,protocol,packets,bytes,label_suspicious
2025-11-17 08:00:00,10.9.0.92,10.10.9.217,TCP,35,57126,0
2025-11-17 08:00:00,10.1.2.94,10.11.4.6,TCP,27,30208,0
2025-11-17 08:01:00,10.8.0.123,10.17.8.6,UDP,31,56680,0
2025-11-17 08:01:00,10.8.8.66,10.15.7.105,TCP,42,40499,0
2025-11-17 08:01:00,10.5.2.183,10.14.5.202,UDP,39,56801,0
2025-11-17 08:01:00,10.0.0.5,10.19.3.62,TCP,52,36262,0
2025-11-17 08:02:00,10.6.4.56,10.17.9.189,ICMP,51,26415,0
2025-11-17 08:02:00,10.9.8.86,10.15.0.244,TCP,38,54821,0
2025-11-17 08:03:00,10.7.7.118,10.17.4.67,UDP,26,34779,0
2025-11-17 08:03:00,10.1.6.77,10.19.4.155,UDP,31,45280,0
2025-11-17 08:03:00,10.3.8.148,10.13.0.174,TCP,42,50955,0
2025-11-17 08:04:00,10.2.5.48,10.14.3.236,TCP,34,42578,0
2025-11-17 08:05:00,10.3.2.172,10.18.9.184,ARP,24,47579,0
2025-11-17 08:05:00,10.8.8.17,10.11.0.168,TCP,31,65332,0
2025-11-17 08:06:00,10.7.5.90,10.12.0.141,TCP,29,80200,0
2025-11-17 08:06:00,10.6.4.191,10.13.0.158,TCP,32,51481,0
2025-11-17 08:07:00,10.3.4.150,10.15.2.39,DHCP,34,39794,0
2025-11-17 08:09:00,10.0.5.199,10.11.1.81,TCP,34,42884,0
2025-11-17 08:09:00,10.7.0.161,10.15.9.30,TCP,35,57274,0
2025-11-17 08:10:00,10.2.6.11,10.11.8.196,TCP,38,50477,0
2025-11-17 08:11:00,10.4.2.40,10.16.4.134,TCP,36,43638,0
2025-11-17 08:11:00,10.1.5.243,10.14.5.209,TCP,33,51420,0
2025-11-17 08:11:00,10.1.6.138,10.13.1.51,TCP,43,51968,0
2025-11-17 08:12:00,10.1.8.86,10.16.1.222,TCP,39,56023,0
2025-11-17 08:12:00,10.0.1.162,10.19.0.72,TCP,37,74187,0
2025-11-17 08:12:00,10.8.9.23,10.11.6.3,ARP,35,41078,0
2025-11-17 08:12:00,10.0.8.96,10.18.6.178,TCP,34,54172,0
2025-11-17 08:13:00,10.5.2.50,10.18.8.111,UDP,36,63672,0
2025-11-17 08:13:00,10.0.4.6,10.19.3.30,ARP,32,65718,0
2025-11-17 08:13:00,10.3.5.104,10.18.8.239,TCP,31,58537,0
2025-11-17 08:14:00,10.5.7.221,10.12.1.182,DHCP,31,44616,0
2025-11-17 08:14:00,10.3.4.95,10.17.4.109,UDP,38,73640,0
2025-11-17 08:14:00,10.6.1.82,10.14.9.63,TCP,27,62644,0
2025-11-17 08:14:00,10.4.3.202,10.13.3.114,TCP,41,47730,0
2025-11-17 08:15:00,10.5.2.21,10.12.2.46,UDP,28,43390,0
2025-11-17 08:15:00,10.2.2.11,10.10.6.11,TCP,25,51829,0
2025-11-17 08:16:00,10.8.8.88,10.12.3.165,UDP,42,38483,0
2025-11-17 08:16:00,10.4.3.148,10.14.8.179,UDP,32,46962,0
2025-11-17 08:17:00,10.1.9.203,10.12.9.69,UDP,37,57091,0
2025-11-17 08:18:00,10.0.9.102,10.13.9.214,UDP,41,70722,0
2025-11-17 08:18:00,10.5.2.245,10.14.0.107,UDP,34,49921,0
2025-11-17 08:18:00,10.5.2.143,10.10.2.159,UDP,28,43459,0
2025-11-17 08:18:00,10.7.1.77,10.19.4.13,ARP,35,53437,0
2025-11-17 08:18:00,10.9.2.231,10.15.1.116,TCP,31,62684,0
2025-11-17 08:19:00,10.2.6.210,10.18.7.181,ARP,37,67091,0
2025-11-17 08:19:00,10.0.6.178,10.10.6.25,TCP,29,39596,0
2025-11-17 08:20:00,10.5.8.83,10.11.2.204,TCP,41,55115,0
2025-11-17 08:20:00,10.9.5.6,10.12.0.228,UDP,33,63956,0
2025-11-17 08:20:00,10.3.0.192,10.18.7.239,UDP,17,61796,0
2025-11-17 08:21:00,10.9.7.24,10.14.0.185,TCP,41,48060,0
2025-11-17 08:21:00,10.2.6.34,10.18.8.181,TCP,30,45768,0
2025-11-17 08:21:00,10.3.8.244,10.10.5.22,TCP,28,38211,0
2025-11-17 08:22:00,10.7.8.243,10.19.9.220,ARP,36,40125,0
2025-11-17 08:22:00,10.7.9.123,10.11.0.8,ICMP,30,39016,0
2025-11-17 08:22:00,10.7.4.114,10.13.9.71,UDP,34,52114,0
2025-11-17 08:22:00,10.1.8.61,10.19.5.69,TCP,33,50117,0
2025-11-17 08:22:00,10.8.5.247,10.12.4.5,UDP,49,29670,0
2025-11-17 08:23:00,10.2.9.28,10.10.4.118,TCP,40,51804,0
2025-11-17 08:24:00,10.5.5.119,10.18.1.101,TCP,27,20799,0
2025-11-17 08:25:00,10.8.2.227,10.14.8.177,UDP,33,52062,0
2025-11-17 08:25:00,10.1.3.176,10.18.2.160,UDP,38,51101,0
2025-11-17 08:25:00,10.4.7.47,10.17.7.56,UDP,28,38571,0
2025-11-17 08:25:00,10.2.2.17,10.11.0.248,UDP,27,68256,0
2025-11-17 08:26:00,10.0.2.30,10.10.3.75,DHCP,43,35692,0
2025-11-17 08:27:00,10.7.2.93,10.12.3.183,UDP,30,47415,0
2025-11-17 08:27:00,10.0.5.231,10.15.8.52,TCP,42,46372,0
2025-11-17 08:27:00,10.1.2.114,10.13.2.50,DHCP,37,45644,0
2025-11-17 08:28:00,10.1.0.183,10.17.1.60,UDP,40,57368,0
2025-11-17 08:29:00,10.8.9.115,10.11.7.13,TCP,29,36608,0
2025-11-17 08:29:00,10.4.0.193,10.11.3.189,ARP,53,70188,0
2025-11-17 08:29:00,10.9.4.100,10.11.0.11,ARP,27,54934,0
2025-11-17 08:29:00,10.3.1.97,10.18.8.7,ICMP,31,48072,0
2025-11-17 08:30:00,10.5.2.24,10.13.0.34,UDP,33,43342,0
2025-11-17 08:30:00,10.7.9.163,10.13.0.196,TCP,24,67870,0
2025-11-17 08:30:00,10.3.7.6,10.16.2.222,TCP,28,32398,0
2025-11-17 08:31:00,10.6.6.61,10.15.1.200,TCP,30,44759,0
2025-11-17 08:32:00,10.8.3.164,10.10.0.183,DHCP,21,49651,0
2025-11-17 08:32:00,10.9.5.19,10.16.5.38,UDP,32,55664,0
2025-11-17 08:32:00,10.9.3.248,10.13.0.194,TCP,30,41054,0
2025-11-17 08:33:00,10.2.4.223,10.13.9.100,ARP,29,49210,0
2025-11-17 08:33:00,10.8.4.155,10.13.0.135,UDP,43,48811,0
2025-11-17 08:33:00,10.1.1.249,10.17.1.46,TCP,42,53886,0
2025-11-17 08:33:00,10.6.4.104,10.10.7.106,TCP,32,47352,0
2025-11-17 08:34:00,10.8.2.184,10.14.1.173,ICMP,31,46100,0
2025-11-17 08:34:00,10.3.7.71,10.11.9.93,DHCP,45,37702,0
2025-11-17 08:35:00,10.8.9.130,10.15.1.110,TCP,40,27231,0
2025-11-17 08:35:00,10.0.5.234,10.18.5.197,TCP,36,54174,0
2025-11-17 08:35:00,10.9.5.218,10.18.5.57,DHCP,34,56636,0
2025-11-17 08:35:00,10.9.5.106,10.18.6.19,ARP,35,50773,0
2025-11-17 08:36:00,10.5.0.111,10.14.2.141,UDP,28,38061,0
2025-11-17 08:36:00,10.6.4.179,10.19.7.186,TCP,29,54402,0
2025-11-17 08:36:00,10.8.3.236,10.19.7.217,UDP,40,62481,0
2025-11-17 08:37:00,10.3.0.33,10.13.3.71,UDP,27,60417,0
2025-11-17 08:37:00,10.5.3.15,10.10.1.137,DHCP,27,63292,0
2025-11-17 08:37:00,10.0.8.55,10.13.0.48,UDP,32,50651,0
2025-11-17 08:38:00,10.2.8.175,10.13.0.209,TCP,31,55006,0
2025-11-17 08:40:00,10.5.6.61,10.17.7.227,TCP,22,22065,0
2025-11-17 08:41:00,10.4.6.164,10.16.9.55,TCP,36,48214,0
2025-11-17 08:41:00,10.7.2.214,10.19.3.10,ARP,32,58372,0
2025-11-17 08:43:00,10.0.3.50,10.15.0.175,ARP,33,44227,0
2025-11-17 08:43:00,10.3.4.75,10.14.7.222,DHCP,42,48663,0
2025-11-17 08:43:00,10.9.6.146,10.11.9.199,TCP,39,50199,0
2025-11-17 08:43:00,10.0.8.160,10.14.7.199,UDP,38,75344,0
2025-11-17 08:44:00,10.0.9.227,10.10.8.48,TCP,36,49695,0
2025-11-17 08:44:00,10.3.8.93,10.19.3.52,ICMP,33,10187,0
2025-11-17 08:44:00,10.1.4.248,10.16.7.30,UDP,33,52433,0
2025-11-17 08:44:00,10.1.6.221,10.17.6.162,TCP,32,28958,0
