timestamp,ifInOctets_bytes,ifOutOctets_bytes,ifInErrors,ifOutErrors,utilization_pct,label_anomaly,debit_rx_mbps,debit_tx_mbps,error_rate_pct,anomaly_flag,anomaly_score,rule_alarm,rule_detail
2025-11-17 08:00:00,8352422,7283657,5,2,15.636079530830813,0,0.2227,0.1942,4.5e-05,1,0.24210920821202958,False,
2025-11-17 08:05:00,6910689,7179399,5,1,14.090088642219492,0,0.1843,0.1915,4.3e-05,1,0.22363027915124295,False,
2025-11-17 08:10:00,9467356,7521282,2,2,16.988638854680616,0,0.2525,0.2006,2.4e-05,1,0.24542607283985368,False,
2025-11-17 08:15:00,8980147,7286185,6,0,16.266333610231136,0,0.2395,0.1943,3.7e-05,1,0.26175326647247105,False,
2025-11-17 08:20:00,11174561,5718857,4,2,16.89341864373652,0,0.298,0.1525,3.6e-05,1,0.237553165907607,False,
2025-11-17 08:25:00,9447229,5665576,4,2,15.112805405307933,0,0.2519,0.1511,4e-05,1,0.2679438521253542,False,
2025-11-17 08:30:00,7755155,7652360,6,4,15.40751638513801,0,0.2068,0.2041,6.5e-05,1,0.18312630605085384,False,
2025-11-17 08:35:00,6605762,5328115,1,2,11.933878075490217,0,0.1762,0.1421,2.5e-05,1,0.20591958997888155,False,
2025-11-17 08:40:00,9920156,5841270,2,2,15.761426830359127,0,0.2645,0.1558,2.5e-05,1,0.2655460300846983,False,
2025-11-17 08:45:00,8523604,6560588,1,3,15.084193102683832,0,0.2273,0.1749,2.7e-05,1,0.2677640842275849,False,
2025-11-17 08:50:00,8889005,4794720,0,2,13.683725892062352,0,0.237,0.1279,1.5e-05,1,0.21763304960595137,False,
2025-11-17 08:55:00,8087053,4868870,3,2,12.955924466909568,0,0.2157,0.1298,3.9e-05,1,0.25000351262064274,False,
2025-11-17 09:00:00,6000190,5416197,6,2,11.4163883569626,0,0.16,0.1444,7e-05,1,0.12610119705783362,False,
2025-11-17 09:05:00,10362361,5005126,1,3,15.367487648811096,0,0.2763,0.1335,2.6e-05,1,0.24603075600635727,False,
2025-11-17 09:10:00,9724469,4230444,1,0,13.954914863120136,0,0.2593,0.1128,7e-06,1,0.1612271182674831,False,
2025-11-17 09:15:00,9332817,7644676,2,2,16.977494387606093,0,0.2489,0.2039,2.4e-05,1,0.2433324172749896,False,
2025-11-17 09:20:00,9996043,5633117,3,2,15.62916099043609,0,0.2666,0.1502,3.2e-05,1,0.26835057564694254,False,
2025-11-17 09:25:00,7131289,7129099,4,1,14.260389313772698,0,0.1902,0.1901,3.5e-05,1,0.24902930604411944,False,
2025-11-17 09:30:00,11953318,5137322,3,4,17.090641354478166,0,0.3188,0.137,4.1e-05,1,0.19038810022387814,False,
2025-11-17 09:35:00,8522026,7475723,4,6,15.997750280618224,0,0.2273,0.1994,6.3e-05,1,0.18922188772586357,False,
2025-11-17 09:40:00,9539651,6189680,5,2,15.729332341955809,0,0.2544,0.1651,4.5e-05,1,0.2476529161877234,False,
2025-11-17 09:45:00,10119256,5672311,1,2,15.79156759837819,0,0.2698,0.1513,1.9e-05,1,0.25350122699148125,False,
2025-11-17 09:50:00,4912711,6160234,4,0,11.072946271783705,0,0.131,0.1643,3.6e-05,1,0.1498808041858598,False,
2025-11-17 09:55:00,11513068,5510087,1,1,17.02315614074388,0,0.307,0.1469,1.2e-05,1,0.1815052250222341,False,
2025-11-17 10:00:00,9084349,7288836,4,1,16.373185314214524,0,0.2422,0.1944,3.1e-05,1,0.2617911260459201,False,
2025-11-17 10:05:00,6451131,7398050,1,4,13.849182047257743,0,0.172,0.1973,3.6e-05,1,0.217926972226254,False,
2025-11-17 10:10:00,8457964,6528444,4,1,14.986408839483984,0,0.2255,0.1741,3.3e-05,1,0.2686766475791235,False,
2025-11-17 10:15:00,13094625,6098366,3,2,19.19299193369573,0,0.3492,0.1626,2.6e-05,1,0.12343675423248635,False,
2025-11-17 10:20:00,8641726,6775467,3,1,15.417194431383596,0,0.2304,0.1807,2.6e-05,1,0.2664089015444369,False,
2025-11-17 10:25:00,6864062,5610956,2,4,12.475018575556632,0,0.183,0.1496,4.8e-05,1,0.22733641270439703,False,
2025-11-17 10:30:00,8752647,6086302,1,5,14.838950098595932,0,0.2334,0.1623,4e-05,1,0.26625566828882935,False,
2025-11-17 10:35:00,9578058,6829387,4,2,16.40744559594357,0,0.2554,0.1821,3.7e-05,1,0.26222981521927946,False,
2025-11-17 10:40:00,8069451,4736153,4,4,12.80560514551963,0,0.2152,0.1263,6.2e-05,1,0.20193808778579914,False,
2025-11-17 10:45:00,8095601,6412425,1,1,14.508026734747451,0,0.2159,0.171,1.4e-05,1,0.23632816530122908,False,
2025-11-17 10:50:00,10771613,6467992,1,3,17.23960601297055,0,0.2872,0.1725,2.3e-05,1,0.24402076809416123,False,
2025-11-17 10:55:00,10250554,6608258,3,3,16.858813480428495,0,0.2733,0.1762,3.6e-05,1,0.2561964792825545,False,
2025-11-17 11:00:00,8991189,6353887,5,0,15.345077264329424,0,0.2398,0.1694,3.3e-05,1,0.2720675590281056,False,
2025-11-17 11:05:00,8896434,6255092,1,2,15.151526502757925,0,0.2372,0.1668,2e-05,1,0.26538142169303475,False,
2025-11-17 11:10:00,9219530,4090768,4,4,13.310298989307604,0,0.2459,0.1091,6e-05,1,0.18210452500407165,False,
2025-11-17 11:15:00,8349921,6872822,1,4,15.22274406973058,0,0.2227,0.1833,3.3e-05,1,0.2627670577257916,False,
2025-11-17 11:20:00,8984809,7772793,3,3,16.757602217773545,0,0.2396,0.2073,3.6e-05,1,0.2459792086373201,False,
2025-11-17 11:25:00,9204773,5003351,2,2,14.208125339718476,0,0.2455,0.1334,2.8e-05,1,0.2591237649245857,False,
2025-11-17 11:30:00,11215141,4965064,1,3,16.180206233223853,0,0.2991,0.1324,2.5e-05,1,0.2315534280250443,False,
2025-11-17 11:35:00,7250279,6774041,0,4,14.02432107779844,0,0.1933,0.1806,2.9e-05,1,0.2488589590024634,False,
2025-11-17 11:40:00,10410053,5630433,3,2,16.040487427197704,0,0.2776,0.1501,3.1e-05,1,0.2606278816058025,False,
2025-11-17 11:45:00,11509187,4007446,1,1,15.516634191421666,0,0.3069,0.1069,1.3e-05,1,0.15267145778039376,False,
2025-11-17 11:50:00,7714653,6682557,4,3,14.397210628478671,0,0.2057,0.1782,4.9e-05,1,0.24488554725200795,False,
2025-11-17 11:55:00,9278978,4134185,2,1,13.413164255271878,0,0.2474,0.1102,2.2e-05,1,0.22422795165954285,False,
2025-11-17 12:00:00,9377710,5774104,3,1,15.151814921149931,0,0.2501,0.154,2.6e-05,1,0.27051393040245886,False,
2025-11-17 12:05:00,8756694,6489230,3,0,15.245924812873978,0,0.2335,0.173,2e-05,1,0.2618270946855863,False,
2025-11-17 12:10:00,8282591,5512680,2,2,13.795272404664862,0,0.2209,0.147,2.9e-05,1,0.2635532758067119,False,
2025-11-17 12:15:00,7500403,7276408,5,2,14.776811944202892,0,0.2,0.194,4.7e-05,1,0.23618506506357279,False,
